ID,Host,Isolate
MN033907,,H1_Bulk_Litter_4_scaffold_9531
MN033872,,H3_Bulk_Litter_17_scaffold_52
MN033591,,H4_Rhizo_44_scaffold_12707
MN033479,,H1_Rhizo_25_scaffold_9154
MN033410,,H2_Bulk_Litter_12_scaffold_24547
MN033274,,H2_Bulk_Litter_12_scaffold_255
MN033177,,H4_Rhizo_44_scaffold_584
MN033141,,H4_Bulk_46_scaffold_28672
MN033120,,H1_Bulk_29_scaffold_2190
MN032977,,H1_Bulk_Litter_4_scaffold_35
NC_043416,,
MK041038,,1/NA9/2017
MK041037,,1/NA3/2017
MK041036,,1/NA2/2017
MG661261,,
MK286562,,
LC460060,,
LC460059,,
LC460058,,
LC460057,,
LC460056,,
LC460055,,
LC460054,,
LC460053,,
LC460052,,
LC460051,,
LC460050,,
LC460049,,
LC460048,,
LC460047,,
LC460046,,
LC460045,,
LC460044,,
LC460043,,
LC460042,,
LC460041,,
LC460040,,
LC460039,,
LC460038,,
LC460037,,
LC460036,,
LC460035,,
LC460034,,
LC460033,,
LC460032,,
LC460031,,
LC460030,,
LC460029,,
LC460028,,
LC460027,,
LC460026,,
LC460025,,
LC460024,,
LC460023,,
LC460022,,
LC460021,,
LC460020,,
LC460019,,
LC460018,,
LC460017,,
LC460016,,
LC460015,,
LC460014,,
LC460013,,
LC460012,,
LC460011,,
LC460010,,
LC460009,,
LC460008,,
LC460007,,
LC460006,,
LC460005,,
LC460004,,
LC460003,,
LC460002,,
LC460001,,
LC460000,,
LC459999,,
LC460163,,
LC460162,,
LC460161,,
LC460160,,
LC460159,,
LC460158,,
LC460157,,
LC460156,,
LC460155,,
LC460154,,
LC460153,,
LC460152,,
LC460151,,
LC460150,,
LC460149,,
LC460148,,
LC460147,,
LC460146,,
LC460145,,
LC460144,,
LC460143,,
LC460142,,
LC460141,,
LC460140,,
LC460139,,
LC460138,,
LC460137,,
LC460136,,
LC460135,,
LC460134,,
LC460133,,
LC460132,,
LC460131,,
LC460130,,
LC460129,,
LC460128,,
LC460127,,
LC460126,,
LC460125,,
LC460124,,
LC460123,,
LC460122,,
LC460121,,
LC460120,,
LC460119,,
LC460118,,
LC460117,,
LC460116,,
LC460115,,
LC460114,,
LC460113,,
LC460112,,
LC460111,,
LC460110,,
LC460109,,
LC460108,,
LC460107,,
LC460106,,
LC460105,,
LC460104,,
LC460103,,
LC460102,,
LC460101,,
LC460100,,
LC460099,,
LC460098,,
LC460097,,
LC460096,,
LC460095,,
LC460094,,
LC460093,,
LC460092,,
LC460091,,
LC460090,,
LC460089,,
LC460088,,
LC460087,,
LC460086,,
LC460085,,
LC460084,,
LC460083,,
LC460082,,
LC460081,,
LC460080,,
LC460079,,
LC460078,,
LC460077,,
LC460076,,
LC460075,,
LC460074,,
LC460073,,
LC460072,,
LC460071,,
LC460070,,
LC460069,,
LC460068,,
LC460067,,
LC460066,,
LC460065,,
LC460064,,
LC460063,,
LC460062,,
LC460061,,
LC459998,,
LC459997,,
LC459996,,
LC459995,,
LC459994,,
LC459993,,
LC459992,,
LC459991,,
LC459990,,
LC459989,,
LC459988,,
LC459987,,
LC459986,,
LC459985,,
LC459984,,
LC459983,,
LC459982,,
LC459981,,
LC459980,,
LC459979,,
LC459978,,
LC459977,,
KF039921,,Rus-Nsc12-N5278
KF039920,,Rus-Nsc12-N4970
KF039919,,Rus-Nsc12-N4937
KF039918,,Rus-Nsc12-N4575
KF039917,,Rus-Nsc12-N3705
KF039916,,Rus-Nsc11-N3458
KF039915,,Rus-Nsc11-N3441
KF039914,,Rus-Nsc11-N3376
MG599905,,
MG599885,,
MG599884,,
MH791394,,NJ1701
MH763691,,
NC_030922,,V1347
NC_026814,,
NC_018702,,
NC_011400,,MLB1
NC_005790,,
NC_004579,,
NC_003790,,
NC_001943,,
LT898434,,PAstV/GER/L00855-K14_14-04/2014
LT898424,,PAstV/GER/L00919-K17_14-02/2014
LT706531,,UK/2013/ewe/lib01454
LT706530,,UK/2014/lamb/lib01455
KC411816,,HOR-001/2011-India
KY775077,,ZSR21
KY775076,,DSM1
KY775075,,CLR2
KY775074,,CLR1
MF042208,,Brazil/Sewage
KY964327,,
KU954489,,PoAstV/OB231-013
KU954488,,PoAstV/OB458-087
KU954487,,PoAstV/OB459-001
KU954486,,PoAstV/OB471-094
KU954485,,PoAstV/OB472-063
KU954484,,PoAstV/OB460-033
KU954483,,PoAstV/OB458-066
KU954482,,PoAstV/OB230-034
KU954481,,PoAstV/B41-004
KU954480,,PoAstV/B48-015
KU954479,,PoAstV/T474-057
KU954478,,PoAstV/OH372-031
KU954477,,PoAstV/OH357-001
KU954476,,PoAstV/OB470-077
KU954475,,PoAstV/OB470-061
KU954474,,PoAstV/I159-006
KU954473,,PoAstV/C56-021
KU954472,,PoAstV/A3-027
KU954471,,PoAstV/OA139-045
KU954470,,PoAstV/OB225-003
KU954469,,PoAstV/OB221-033
KU954468,,PoAstV/OB224-086
KU954467,,PoAstV/OB223-037
KU954466,,PoAstV/C180-046
KU954465,,PoAstV/I157-056
KU954464,,PoAstV/F436-046
KU954463,,PoAstV/F438-047
KU954462,,PoAstV/F435-079
KU954461,,PoAstV/D332-005
KU954460,,PoAstV/H111-014
KU954459,,PoAstV/H114-062
KU954458,,PoAstV/E77-048
KU954457,,PoAstV/E75-081
KU954456,,PoAstV/E79-029
KU954455,,PoAstV/E74-049
KU954454,,PoAstV/E76-032
KU954453,,PoAstV/D63-017
KU954452,,PoAstV/D62-047
KU954451,,PoAstV/E81-084
KU954450,,PoAstV/D65-018
KU954449,,PoAstV/A4-059
KU189272,,Mu09/1155
KU189271,,KS15/419
KU189270,,KS14/1023
KU189269,,KS14/1021
KU189268,,KS14/1012
KU189267,,KS14/1011
KU189266,,KS13/459
KU189265,,KS13/457
KU189264,,KS13/454
KU189263,,KS13/440
KU189262,,KS13/432
KU189261,,KS13/431
FJ866761,,Rus-Nsc07-1811
LN612591,,
LN612590,,
LN612589,,
LN612588,,
LN612587,,
LN612586,,
LN612585,,
LN612584,,
LN612583,,
LN612582,,
LN612581,,
LN612580,,
KX273058,,SimianAstV
FJ430562,,GuRVIII/2008/caracas/VEN
FJ430561,,GuRVII/2008/Caracas/VEN
FJ430560,,GuRVI/2008/Caracas/VEN
FJ430559,,GuRV/2007/Caracas/VEN
FJ430558,,GuRIV/2007/Caracas/VEN
FJ430557,,GuRIII/2007/Caracas/VEN
FJ430556,,SewCCI/2007/Caracas/VEN
FJ430555,,SewCVIII/2008/Caracas/VEN
FJ430554,,SewCVII/2008/Caracas/VEN
FJ430553,,SewCV/2008/Caracas/VEN
FJ430552,,SewCIV/2007/Caracas/VEN
FJ430551,,SewCIII/2007/Caracas/VEN
FJ430550,,SewCII/2007/Caracas/VEN
EU669003,,M52
DQ381378,,2654/04
DQ381377,,6363/5-6/03
DQ381376,,6363/4/03
DQ381375,,1820/04
DQ381374,,1722/10/04
DQ381373,,1722/7/04
DQ381372,,1619/04
DQ381371,,1503/04
DQ381370,,1261/04
DQ381369,,1142/04
DQ381368,,639/04
DQ381367,,531/04
DQ381366,,276/04
DQ381365,,89/04
DQ381364,,1399/03
DQ381363,,1461/02
DQ381362,,2085/01
DQ453922,,CA-SEP-A779-05.seq
DQ381508,,RJ8398/BR/04
DQ381507,,RJ8163/BR/04
DQ381506,,RJ9475/BR/04
DQ381505,,RJ7987/BR/04
DQ381504,,RJ8736/BR/04
DQ381503,,RJ8417/BR/04
DQ381502,,RJ8201/BR/04
DQ381501,,RJ8171/BR/04
DQ381500,,RJ10016/BR/04
DQ381499,,RJ8176/BR/04
DQ381498,,RJ8479/BR/04
DQ381497,,RJ8478/BR/04
DQ381496,,RJ8418/BR/04
DQ381495,,RJ8404/BR/04
DQ381494,,RJ8226/BR/04
DQ381493,,RJ8161/BR/04
DQ381492,,RJ8216/BR/04
DQ381491,,RJ8212/BR/04
DQ381490,,RJ8178/BR/04
DQ381489,,RJ8198/BR/04
DQ381488,,RJ8640/BR/04
DQ381487,,RJ8631/BR/04
DQ381486,,RJ8487/BR/04
DQ381485,,RJ8485/BR/04
DQ381484,,RJ8482/BR/04
DQ381483,,RJ8217/BR/04
DQ381482,,RJ8195/BR/04
DQ381481,,RJ8193/BR/04
DQ381480,,RJ8160/BR/04
DQ381479,,RJ8734/BR/04
DQ381478,,RJ8619/BR/04
DQ381477,,RJ8618/BR/04
DQ381476,,RJ8617/BR/04
DQ381475,,RJ8408/BR/04
DQ381474,,RJ8215/BR/04
DQ324850,,MO-SEP-A799-05
DQ324849,,GA-SEP-A792-05
DQ324848,,DE-SEP-A654-05
DQ324847,,DE-SEP-A651-05
DQ324846,,GA-SEP-A457-05
DQ324845,,GA-SEP-A455-05
DQ324844,,GA-SEP-A450-05
DQ324843,,GA-SEP-A369-05
DQ324842,,GA-SEP-A368-05
DQ324841,,GA-SEP-A366-05
DQ324840,,GA-SEP-A365-05
DQ324839,,GA-SEP-A364-05
DQ324838,,NC-SEP-A670-05
DQ324837,,NC-SEP-A537-05
DQ324836,,AR-SEP-A804-05
DQ324835,,AR-SEP-A802-05
DQ324834,,MO-SEP-A801-05
DQ324833,,MO-SEP-A798-05
DQ324832,,GA-SEP-A790-05
DQ324831,,CA-SEP-A724-05
DQ324830,,CA-SEP-A723-05
DQ324829,,DE-SEP-A652-05
DQ324828,,GA-SEP-A451-05
DQ324827,,GA-SEP-A367-05
DQ324826,,MO-SEP-A824-05
DQ324825,,MO-SEP-A823-05
DQ324824,,MO-SEP-A819-05
DQ324823,,NC-SEP-A552-05
DQ324822,,NC-SEP-A516-05
DQ324821,,NC-SEP-A498-05
DQ324820,,OH-SEP-A848-86
DQ324819,,MO-SEP-A827-05
DQ324818,,MO-SEP-A818-05
DQ324817,,MO-SEP-A815-05
DQ324816,,MO-SEP-A814-05
DQ324815,,MN-SEP-A809-05
DQ324814,,MN-SEP-A805-05
DQ324813,,NC-SEP-A489-05
DQ324812,,NC-SEP-A446-05
DQ324811,,TX-SEP-A313-04
DQ324810,,TX-SEP-A312-04
DQ324809,,NC-SEP-A306-04
DQ324808,,CA/SEP-A269/04
DQ324807,,NC-SEP-A255-04
DQ324806,,NC-SEP-A254-04
DQ324805,,NC-SEP-A252-04
DQ324804,,NC-SEP-A41-03
DQ324803,,VA-SEP-A17-03
DQ324802,,VA-SEP-A8-03
DQ344027,,Guangzhou
DQ139832,,BrG8
DQ139831,,BrG3
DQ139830,,BrG2-1
DQ139829,,BrG2-4
DQ139828,,BrG1-10
DQ139827,,BrG1-9
DQ139826,,BrG1-12
DQ139825,,BrG1-5
DQ139824,,BrG8
DQ139823,,BrG3
DQ139822,,BrG2-4
DQ139821,,BrG1-12
DQ139820,,BrG1-9
DQ139819,,BrG1-5
DQ139818,,BrG1-12
DQ139817,,BrG1-5
DQ139816,,BrG3
DQ139815,,BrG1-10
DQ139814,,BrG2-4
DQ139813,,BrG8
DQ139812,,BrG1-9
DQ066598,,VA/SEP-A33/03
