host,class
Homo sapiens 1 year 6 month old male child,
Pygoscelis adeliae,Aves
Hystrix brachyurus,Mammalia
Episoriculus leucops,Mammalia
Volemys millicens,Mammalia
Tylonycteris robustula,Mammalia
Homo sapiens 62 year old lady,
Homo sapiens 6 year old boy,
Homo sapiens 5 month old girl,
Homo sapiens 9 month old boy,
Homo sapiens 10 year old girl,
Homo sapiens one and half year old boy,
Homo sapiens 1 year old boy,
Pipistrellus pygmaeus,Mammalia
Hipposideros cineraceus,Mammalia
Homo sapiens 34 month-old girl,
Homo sapiens 36 month-old girl,
Homo sapiens 23 month-old boy,
Homo sapiens 24 month-old girl,
Homo sapiens 10 month-old girl,
Homo sapiens 8 month-old girl,
Homo sapiens 11 month-old girl,
Homo sapiens 12 month-old girl,
Homo sapiens under 5 years old,
Homo sapiens 5 month-old boy,
Meleagris gallopavo; female,
Canis familiaris,Mammalia
"Homo sapiens, 24 months old femail",
Homo sapiens 1 months old male,
Homo sapiens 16 months old male,
Numida meleagris,Aves
Apodemus flavicollis (yellow necked mouse),
laboratory mouse,
Homo sapiens 5 months old female,
Homo sapiens 62 years old female,
Homo sapiens 1 year 6 months old baby girl,
Homo sapiens 2 years old baby boy,
Homo sapiens 6 years old boy,
Homo sapiens 1 year 6 months old baby boy,
Homo sapiens 5 months old baby girl,
Homo sapiens 9 months old baby boy,
Homo sapiens 10 months old baby girl,
Homo sapiens 10 years old girl,
Homo sapiens 45 years old female,
puppy,
Anas penelope,Aves
Anas clypeata,
Tringa nebularia,Aves
Platalea minor,Aves
Ardeola sp.,
Dendrocygna javanica,Aves
Spilopelia chinensis,Aves
guinea fowl,Aves
domestic sheep,Mammalia
Homo sapiens age 57 years,
Homo sapiens age 69 years,
Homo sapiens age 52 years,
Homo sapiens age 80 years,
Homo sapiens age 85 years,
Homo sapiens age 8 months,
Homo sapiens age 3 months,
Homo sapiens age 1 month,
Homo sapiens age 12 months,
Homo sapiens age 4 months,
Homo sapiens age 9 months,
Homo sapiens age 5 months,
Homo sapiens age 6 months,
Homo sapiens age 10 months,
Homo sapiens age 2 months,
Homo sapiens age 16 months,
Homo sapiens age 11 months,
Homo sapiens age 14 months,
Homo sapiens age 7 months,
Homo sapiens age 25 months,
Wood pigeon,
Feral pigeon,
