,Host
PP871758,Sus scrofa (wild boar)
PP871757,Sus scrofa (wild boar)
PP871756,Sus scrofa domesticus
PP871755,Sus scrofa domesticus
PP871754,Sus scrofa domesticus
PP871753,Sus scrofa domesticus
PP871752,Sus scrofa (wild boar)
PP871751,Sus scrofa (wild boar)
PP871750,Sus scrofa (wild boar)
PP871749,Sus scrofa (wild boar)
PP871748,Sus scrofa (wild boar)
PP871747,Sus scrofa domesticus
PP871746,Sus scrofa domesticus
PP871745,Sus scrofa domesticus
PP871744,Sus scrofa domesticus
PP871743,Sus scrofa domesticus
PP871742,Sus scrofa domesticus
PP871741,Sus scrofa domesticus
PP871740,Sus scrofa domesticus
PP871739,Sus scrofa domesticus
PP871738,Sus scrofa domesticus
PP871737,Sus scrofa domesticus
PP871736,Sus scrofa domesticus
PP871735,Sus scrofa domesticus
PP871734,Sus scrofa domesticus
PP871733,Sus scrofa domesticus
PP871732,Sus scrofa domesticus
PP871731,Canis lupus familiaris
PP871730,Sus scrofa domesticus
PP871729,Sus scrofa domesticus
PP871728,Sus scrofa domesticus
PP871727,Sus scrofa domesticus
PP871726,Sus scrofa domesticus
PP871725,Sus scrofa domesticus
PP871724,Sus scrofa (wild boar)
PP871723,Sus scrofa domesticus
PP871722,Sus scrofa domesticus
PP871721,Sus scrofa domesticus
PP871720,Sus scrofa domesticus
PP871719,Sus scrofa domesticus
PV076096,Bos taurus
PV076095,Bos taurus
PV076094,Bos taurus
PV708886,Marmota sibirica
PV470470,Botrylloides leachii
LC877794,NA
LC877793,NA
PV656460,Homo sapiens
PV656459,Homo sapiens
PQ569844,Cebus cuscinus
PQ619424,NA
PQ619423,NA
PQ619422,NA
PQ619421,NA
PQ619420,NA
PQ619419,NA
PP211426,Rattus norvegicus
PP211349,Rattus norvegicus
PP211348,Rattus norvegicus
PP211347,Rattus norvegicus
PP211346,Rattus norvegicus
PP211345,Rattus norvegicus
PP211344,Rattus norvegicus
PP211343,Rattus norvegicus
PP211271,Rattus norvegicus
PP211270,Rattus norvegicus
PP211238,Cricetulus longicaudatus
PP211223,Rattus norvegicus
PP211222,Rattus norvegicus
